"Descrição","Acurácia","F1-Score","Recall","Precisão","MCC"
"adult.dat , MlP , Padronizado , Split # 0",0.845657173182381,0.5568937533583036,0.7722408519999088,0.750114402224456,0.8099887988968981
"adult.dat , MLP , Normalizado , Split # 0",0.7924111091455864,0.3514045478218753,0.6415298668147027,0.6239063802028252,0.749150116458412
"adult.dat , MlP , Padronizado , Split # 0",0.8441535467893154,0.5584447141619956,0.7758846646133569,0.7588063693249614,0.801248863763372
"adult.dat , MLP , Normalizado , Split # 0",0.7907305855298071,0.3594755663509051,0.6596752372541042,0.6407364750215375,0.7295472491824321
"adult.dat , MlP , Padronizado , Split # 0",0.8402618078896161,0.5440536395100007,0.767527978772361,0.7485618725503823,0.7977069246652875
"adult.dat , MLP , Normalizado , Split # 0",0.7887847160799576,0.32690457069198553,0.5890586552342878,0.5863192062113944,0.8095099081356141
"adult.dat , MlP , Padronizado , Split # 0",0.8457456217937378,0.5707296990145576,0.7840813443102503,0.7727866904636723,0.7985229858388436
"adult.dat , MLP , Normalizado , Split # 0",0.8007252786131258,0.380959685381598,0.6490249337705954,0.629193894899692,0.7808381193219838
"adult.dat , MlP , Padronizado , Split # 0",0.8439766495666018,0.5693155633663065,0.7839337816170898,0.7753198645907405,0.7943124092888243
"adult.dat , MLP , Normalizado , Split # 0",0.801079073058553,0.39553199858927157,0.6773675105204962,0.6555123658480738,0.7515001959086349
"adult.dat , MlP , Padronizado , Split # 0",0.843445957898461,0.5622683531607356,0.7794559905175297,0.7668310180941849,0.7962040388183937
"adult.dat , MLP , Normalizado , Split # 0",0.803732531399257,0.40272188277110277,0.678807784528384,0.6560797605929913,0.759778901259387
"adult.dat , MlP , Padronizado , Split # 0",0.8410578453918274,0.5462129586162963,0.768519744268489,0.7493303315129698,0.799149921261032
"adult.dat , MLP , Normalizado , Split # 0",0.7580930479391473,0.12738572457677572,0.4633289478399934,0.51542554102264,0.7629911456935874
"adult.dat , MlP , Padronizado , Split # 0",0.846983902352733,0.57008699493356,0.7827998212594633,0.7682256676624613,0.8029158102435597
"adult.dat , MLP , Normalizado , Split # 0",0.776136564655935,0.26188015021485184,0.5611799325401705,0.56750201274053,0.7539969190999224
"adult.dat , MlP , Padronizado , Split # 0",0.8432690606757474,0.5532271586706503,0.7722322571960767,0.7531931901887041,0.8022003562405204
"adult.dat , MLP , Normalizado , Split # 0",0.7821510702281974,0.29441561724634335,0.5853502938594072,0.5829863496239416,0.7611289569650441
"adult.dat , MlP , Padronizado , Split # 0",0.8425614717848929,0.563616345002941,0.780838109305336,0.7710289837993692,0.7930160640952209
"adult.dat , MLP , Normalizado , Split # 0",0.7830355563417655,0.30100799845157983,0.5963372052785453,0.5901549541618909,0.7512502390304748
"adult.dat , MlP , Padronizado , Split # 0",0.8423845745621794,0.558688056872978,0.7775422389789108,0.764570042363236,0.7949430159443072
"adult.dat , MLP , Normalizado , Split # 0",0.7920573147001592,0.34745567383930975,0.635547131310925,0.6190049205546636,0.7536143982964025
"adult.dat , MlP , Padronizado , Split # 0",0.8442419954006722,0.5612194966258263,0.7780881518037057,0.7629332008516965,0.7994746596975009
